"row_idx" "variable" "value"
65 "109" 1
66 "109" 1
133 "109" 1
293 "109" 1
342 "109" 1
432 "109" 1
433 "109" 1
434 "109" 1
506 "109" 1
585 "109" 1
595 "109" 1
1 "113" 1
662 "113" 1
142 "114" 1
269 "114" 1
632 "114" 1
638 "114" 1
32 "115" 1
177 "115" 1
371 "115" 1
39 "116" 1
338 "116" 1
437 "116" 1
523 "116" 1
555 "116" 1
20 "120" 1
98 "120" 1
338 "120" 1
369 "120" 1
437 "120" 1
464 "120" 1
496 "120" 1
523 "120" 1
659 "120" 1
9 "122" 1
531 "122" 1
537 "124" 1
312 "125" 1
425 "128" 1
20 "135" 1
63 "136" 1
280 "136" 1
284 "137" 1
619 "139" 1
629 "139" 1
656 "139" 1
49 "140" 1
94 "140" 1
102 "140" 1
121 "140" 1
131 "140" 1
176 "140" 1
202 "140" 1
226 "140" 1
244 "140" 1
272 "140" 1
331 "140" 1
393 "140" 1
507 "140" 1
525 "140" 1
565 "140" 1
570 "140" 1
617 "140" 1
625 "140" 1
672 "140" 1
252 "141" 1
369 "141" 1
496 "141" 1
497 "141" 1
47 "143" 1
87 "145" 1
362 "145" 1
531 "145" 1
3 "147" 1
379 "150" 1
89 "151" 1
98 "151" 1
179 "151" 1
180 "151" 1
189 "151" 1
191 "151" 1
205 "151" 1
221 "151" 1
234 "151" 1
245 "151" 1
252 "151" 1
262 "151" 1
328 "151" 1
345 "151" 1
365 "151" 1
366 "151" 1
369 "151" 1
381 "151" 1
406 "151" 1
412 "151" 1
462 "151" 1
481 "151" 1
492 "151" 1
496 "151" 1
510 "151" 1
517 "151" 1
547 "152" 1
421 "161" 1
49 "165" 1
51 "165" 1
59 "165" 1
93 "165" 1
94 "165" 1
102 "165" 1
121 "165" 1
124 "165" 1
126 "165" 1
149 "165" 1
171 "165" 1
192 "165" 1
229 "165" 1
246 "165" 1
290 "165" 1
295 "165" 1
313 "165" 1
317 "165" 1
318 "165" 1
330 "165" 1
341 "165" 1
347 "165" 1
372 "165" 1
445 "165" 1
463 "165" 1
565 "165" 1
568 "165" 1
589 "165" 1
598 "165" 1
617 "165" 1
625 "165" 1
670 "165" 1
695 "165" 1
704 "165" 1
36 "166" 1
49 "166" 1
50 "166" 1
51 "166" 1
59 "166" 1
88 "166" 1
94 "166" 1
102 "166" 1
121 "166" 1
149 "166" 1
186 "166" 1
196 "166" 1
226 "166" 1
243 "166" 1
290 "166" 1
296 "166" 1
330 "166" 1
341 "166" 1
429 "166" 1
455 "166" 1
459 "166" 1
565 "166" 1
568 "166" 1
589 "166" 1
598 "166" 1
617 "166" 1
625 "166" 1
678 "166" 1
695 "166" 1
414 "167" 1
694 "167" 1
3 "171" 1
177 "171" 1
49 "176" 1
102 "176" 1
121 "176" 1
126 "176" 1
333 "176" 1
336 "176" 1
429 "176" 1
512 "176" 1
575 "176" 1
617 "176" 1
625 "176" 1
692 "176" 1
23 "182" 1
61 "184" 1
316 "184" 1
322 "184" 1
383 "184" 1
411 "184" 1
434 "184" 1
487 "184" 1
554 "184" 1
594 "184" 1
165 "186" 1
166 "186" 1
282 "186" 1
47 "187" 1
166 "187" 1
277 "187" 1
527 "187" 1
474 "189" 1
165 "190" 1
282 "190" 1
49 "195" 1
51 "195" 1
59 "195" 1
102 "195" 1
121 "195" 1
124 "195" 1
149 "195" 1
192 "195" 1
246 "195" 1
318 "195" 1
330 "195" 1
341 "195" 1
372 "195" 1
445 "195" 1
565 "195" 1
589 "195" 1
598 "195" 1
617 "195" 1
625 "195" 1
670 "195" 1
695 "195" 1
141 "196" 1
588 "197" 1
61 "198" 1
256 "201" 1
252 "202" 1
256 "202" 1
293 "204" 1
394 "204" 1
173 "207" 1
581 "207" 1
687 "207" 1
447 "208" 1
142 "209" 1
638 "209" 1
614 "219" 1
49 "222" 1
51 "222" 1
59 "222" 1
102 "222" 1
121 "222" 1
149 "222" 1
330 "222" 1
341 "222" 1
478 "222" 1
589 "222" 1
598 "222" 1
617 "222" 1
625 "222" 1
695 "222" 1
36 "224" 1
50 "224" 1
51 "224" 1
59 "224" 1
93 "224" 1
149 "224" 1
330 "224" 1
530 "224" 1
565 "224" 1
589 "224" 1
598 "224" 1
627 "224" 1
695 "224" 1
173 "226" 1
581 "226" 1
49 "233" 1
94 "233" 1
102 "233" 1
121 "233" 1
131 "233" 1
176 "233" 1
202 "233" 1
226 "233" 1
244 "233" 1
272 "233" 1
331 "233" 1
377 "233" 1
393 "233" 1
507 "233" 1
525 "233" 1
565 "233" 1
570 "233" 1
617 "233" 1
625 "233" 1
672 "233" 1
32 "238" 1
83 "238" 1
177 "238" 1
345 "238" 1
547 "239" 1
574 "239" 1
173 "241" 1
207 "241" 1
452 "241" 1
512 "241" 1
272 "242" 1
273 "242" 1
348 "242" 1
390 "242" 1
394 "242" 1
401 "242" 1
445 "242" 1
500 "242" 1
525 "242" 1
542 "242" 1
551 "242" 1
487 "243" 1
554 "243" 1
17 "244" 1
77 "244" 1
91 "244" 1
94 "244" 1
97 "244" 1
101 "244" 1
203 "244" 1
265 "244" 1
323 "244" 1
326 "244" 1
380 "244" 1
394 "244" 1
399 "244" 1
426 "244" 1
443 "244" 1
586 "244" 1
692 "244" 1
697 "244" 1
72 "245" 1
623 "245" 1
135 "247" 1
300 "247" 1
340 "247" 1
398 "247" 1
479 "247" 1
655 "247" 1
580 "248" 1
84 "249" 1
134 "249" 1
139 "249" 1
144 "249" 1
272 "249" 1
293 "249" 1
500 "249" 1
551 "249" 1
632 "251" 1
497 "254" 1
49 "257" 1
50 "257" 1
51 "257" 1
59 "257" 1
94 "257" 1
102 "257" 1
121 "257" 1
126 "257" 1
146 "257" 1
149 "257" 1
161 "257" 1
176 "257" 1
186 "257" 1
207 "257" 1
226 "257" 1
290 "257" 1
303 "257" 1
317 "257" 1
330 "257" 1
331 "257" 1
341 "257" 1
347 "257" 1
398 "257" 1
449 "257" 1
525 "257" 1
530 "257" 1
565 "257" 1
568 "257" 1
570 "257" 1
589 "257" 1
598 "257" 1
617 "257" 1
625 "257" 1
627 "257" 1
678 "257" 1
679 "257" 1
695 "257" 1
142 "259" 1
269 "259" 1
632 "259" 1
638 "259" 1
173 "260" 1
23 "261" 1
379 "262" 1
566 "262" 1
36 "264" 1
88 "264" 1
296 "264" 1
455 "264" 1
456 "264" 1
15 "265" 1
425 "267" 1
15 "270" 1
129 "272" 1
538 "272" 1
13 "274" 1
44 "274" 1
86 "274" 1
111 "274" 1
127 "274" 1
145 "274" 1
152 "274" 1
184 "274" 1
307 "274" 1
311 "274" 1
368 "274" 1
397 "274" 1
424 "274" 1
524 "274" 1
582 "274" 1
669 "274" 1
673 "274" 1
293 "277" 1
434 "277" 1
16 "279" 1
17 "279" 1
70 "279" 1
73 "279" 1
94 "279" 1
109 "279" 1
155 "279" 1
176 "279" 1
185 "279" 1
226 "279" 1
229 "279" 1
317 "279" 1
331 "279" 1
432 "279" 1
450 "279" 1
545 "279" 1
550 "279" 1
565 "279" 1
568 "279" 1
570 "279" 1
571 "279" 1
581 "279" 1
627 "279" 1
655 "279" 1
670 "279" 1
687 "279" 1
692 "279" 1
24 "280" 1
63 "280" 1
287 "280" 1
375 "280" 1
442 "280" 1
538 "280" 1
549 "280" 1
668 "280" 1
681 "280" 1
376 "281" 1
136 "286" 1
256 "286" 1
136 "287" 1
256 "287" 1
33 "289" 1
49 "289" 1
94 "289" 1
102 "289" 1
110 "289" 1
121 "289" 1
124 "289" 1
137 "289" 1
171 "289" 1
172 "289" 1
175 "289" 1
176 "289" 1
186 "289" 1
226 "289" 1
229 "289" 1
253 "289" 1
258 "289" 1
272 "289" 1
290 "289" 1
295 "289" 1
303 "289" 1
313 "289" 1
317 "289" 1
325 "289" 1
341 "289" 1
347 "289" 1
390 "289" 1
445 "289" 1
463 "289" 1
525 "289" 1
562 "289" 1
565 "289" 1
568 "289" 1
570 "289" 1
576 "289" 1
589 "289" 1
598 "289" 1
617 "289" 1
625 "289" 1
655 "289" 1
695 "289" 1
704 "289" 1
316 "290" 1
421 "290" 1
428 "290" 1
42 "291" 1
574 "291" 1
591 "291" 1
624 "291" 1
474 "296" 1
41 "297" 1
237 "301" 1
13 "303" 1
44 "303" 1
86 "303" 1
111 "303" 1
127 "303" 1
145 "303" 1
152 "303" 1
157 "303" 1
184 "303" 1
307 "303" 1
311 "303" 1
368 "303" 1
389 "303" 1
397 "303" 1
424 "303" 1
524 "303" 1
582 "303" 1
597 "303" 1
608 "303" 1
669 "303" 1
673 "303" 1
17 "310" 1
49 "310" 1
50 "310" 1
51 "310" 1
59 "310" 1
102 "310" 1
121 "310" 1
126 "310" 1
146 "310" 1
149 "310" 1
161 "310" 1
290 "310" 1
330 "310" 1
341 "310" 1
530 "310" 1
565 "310" 1
568 "310" 1
589 "310" 1
598 "310" 1
617 "310" 1
625 "310" 1
627 "310" 1
695 "310" 1
574 "311" 1
581 "311" 1
61 "312" 1
322 "312" 1
383 "312" 1
411 "312" 1
434 "312" 1
487 "312" 1
594 "312" 1
122 "313" 1
47 "316" 1
277 "316" 1
527 "316" 1
42 "318" 1
487 "318" 1
547 "318" 1
554 "318" 1
574 "318" 1
3 "319" 1
113 "321" 1
123 "321" 1
141 "321" 1
261 "321" 1
392 "321" 1
662 "321" 1
25 "323" 1
49 "323" 1
65 "323" 1
94 "323" 1
102 "323" 1
121 "323" 1
131 "323" 1
147 "323" 1
161 "323" 1
176 "323" 1
202 "323" 1
226 "323" 1
244 "323" 1
272 "323" 1
331 "323" 1
336 "323" 1
374 "323" 1
377 "323" 1
393 "323" 1
432 "323" 1
507 "323" 1
521 "323" 1
525 "323" 1
535 "323" 1
565 "323" 1
567 "323" 1
570 "323" 1
617 "323" 1
618 "323" 1
625 "323" 1
651 "323" 1
663 "323" 1
672 "323" 1
3 "325" 1
49 "327" 1
51 "327" 1
59 "327" 1
75 "327" 1
102 "327" 1
121 "327" 1
124 "327" 1
149 "327" 1
192 "327" 1
246 "327" 1
295 "327" 1
317 "327" 1
318 "327" 1
330 "327" 1
341 "327" 1
372 "327" 1
445 "327" 1
565 "327" 1
589 "327" 1
598 "327" 1
617 "327" 1
625 "327" 1
670 "327" 1
695 "327" 1
41 "328" 1
281 "328" 1
529 "328" 1
33 "329" 1
49 "329" 1
102 "329" 1
110 "329" 1
121 "329" 1
124 "329" 1
137 "329" 1
175 "329" 1
186 "329" 1
253 "329" 1
258 "329" 1
272 "329" 1
295 "329" 1
303 "329" 1
317 "329" 1
325 "329" 1
341 "329" 1
344 "329" 1
565 "329" 1
568 "329" 1
576 "329" 1
589 "329" 1
598 "329" 1
617 "329" 1
625 "329" 1
49 "331" 1
51 "331" 1
59 "331" 1
102 "331" 1
121 "331" 1
149 "331" 1
207 "331" 1
330 "331" 1
341 "331" 1
478 "331" 1
542 "331" 1
587 "331" 1
589 "331" 1
598 "331" 1
617 "331" 1
625 "331" 1
695 "331" 1
430 "336" 1
421 "341" 1
430 "347" 1
470 "358" 1
549 "358" 1
17 "359" 1
77 "359" 1
91 "359" 1
94 "359" 1
97 "359" 1
126 "359" 1
173 "359" 1
203 "359" 1
265 "359" 1
288 "359" 1
323 "359" 1
326 "359" 1
380 "359" 1
394 "359" 1
399 "359" 1
426 "359" 1
443 "359" 1
586 "359" 1
692 "359" 1
697 "359" 1
705 "359" 1
142 "360" 1
166 "361" 1
42 "362" 1
348 "362" 1
591 "362" 1
624 "362" 1
17 "363" 1
101 "363" 1
292 "363" 1
333 "363" 1
425 "363" 1
438 "363" 1
452 "363" 1
512 "363" 1
574 "363" 1
575 "363" 1
581 "363" 1
614 "363" 1
39 "365" 1
112 "365" 1
10 "367" 1
16 "367" 1
70 "367" 1
155 "367" 1
185 "367" 1
333 "367" 1
344 "367" 1
432 "367" 1
450 "367" 1
478 "367" 1
544 "367" 1
545 "367" 1
550 "367" 1
568 "367" 1
571 "367" 1
575 "367" 1
670 "367" 1
36 "369" 1
49 "369" 1
50 "369" 1
51 "369" 1
102 "369" 1
121 "369" 1
347 "369" 1
598 "369" 1
617 "369" 1
625 "369" 1
695 "369" 1
36 "375" 1
49 "375" 1
51 "375" 1
59 "375" 1
88 "375" 1
93 "375" 1
102 "375" 1
121 "375" 1
149 "375" 1
296 "375" 1
317 "375" 1
330 "375" 1
341 "375" 1
440 "375" 1
455 "375" 1
456 "375" 1
486 "375" 1
589 "375" 1
598 "375" 1
617 "375" 1
625 "375" 1
32 "378" 1
177 "378" 1
371 "378" 1
121 "380" 1
330 "380" 1
390 "380" 1
139 "381" 1
141 "381" 1
154 "381" 1
310 "381" 1
500 "381" 1
376 "384" 1
256 "390" 1
533 "391" 1
18 "395" 1
58 "395" 1
124 "395" 1
128 "395" 1
171 "395" 1
195 "395" 1
214 "395" 1
243 "395" 1
258 "395" 1
266 "395" 1
295 "395" 1
396 "395" 1
445 "395" 1
459 "395" 1
522 "395" 1
562 "395" 1
570 "395" 1
593 "395" 1
600 "395" 1
604 "395" 1
607 "395" 1
642 "395" 1
686 "395" 1
695 "395" 1
104 "396" 1
263 "401" 1
510 "401" 1
668 "401" 1
32 "402" 1
83 "402" 1
177 "402" 1
39 "403" 1
84 "403" 1
293 "403" 1
554 "403" 1
94 "408" 1
110 "408" 1
124 "408" 1
137 "408" 1
175 "408" 1
176 "408" 1
226 "408" 1
253 "408" 1
272 "408" 1
295 "408" 1
317 "408" 1
325 "408" 1
565 "408" 1
576 "408" 1
589 "408" 1
598 "408" 1
617 "408" 1
402 "409" 1
284 "418" 1
428 "419" 1
554 "419" 1
23 "420" 1
13 "422" 1
44 "422" 1
145 "422" 1
389 "422" 1
424 "422" 1
461 "422" 1
524 "422" 1
597 "422" 1
350 "423" 1
11 "424" 1
147 "424" 1
300 "424" 1
333 "424" 1
336 "424" 1
378 "424" 1
618 "424" 1
651 "424" 1
24 "425" 1
62 "427" 1
315 "427" 1
159 "428" 1
425 "428" 1
262 "429" 1
510 "430" 1
16 "431" 1
17 "431" 1
70 "431" 1
73 "431" 1
94 "431" 1
109 "431" 1
155 "431" 1
176 "431" 1
185 "431" 1
226 "431" 1
229 "431" 1
290 "431" 1
293 "431" 1
331 "431" 1
432 "431" 1
544 "431" 1
545 "431" 1
550 "431" 1
565 "431" 1
568 "431" 1
570 "431" 1
627 "431" 1
670 "431" 1
687 "431" 1
692 "431" 1
256 "434" 1
49 "436" 1
51 "436" 1
59 "436" 1
102 "436" 1
121 "436" 1
146 "436" 1
149 "436" 1
172 "436" 1
186 "436" 1
196 "436" 1
207 "436" 1
229 "436" 1
273 "436" 1
303 "436" 1
317 "436" 1
330 "436" 1
341 "436" 1
390 "436" 1
401 "436" 1
438 "436" 1
449 "436" 1
478 "436" 1
525 "436" 1
542 "436" 1
565 "436" 1
587 "436" 1
589 "436" 1
598 "436" 1
614 "436" 1
617 "436" 1
622 "436" 1
625 "436" 1
678 "436" 1
679 "436" 1
695 "436" 1
23 "440" 1
66 "441" 1
218 "441" 1
17 "443" 1
77 "443" 1
91 "443" 1
97 "443" 1
101 "443" 1
203 "443" 1
265 "443" 1
288 "443" 1
323 "443" 1
326 "443" 1
380 "443" 1
394 "443" 1
399 "443" 1
426 "443" 1
429 "443" 1
443 "443" 1
586 "443" 1
692 "443" 1
697 "443" 1
705 "443" 1
276 "449" 1
23 "450" 1
42 "453" 1
94 "453" 1
348 "453" 1
551 "453" 1
591 "453" 1
624 "453" 1
3 "454" 1
190 "458" 1
301 "458" 1
364 "458" 1
596 "458" 1
72 "460" 1
113 "460" 1
310 "460" 1
392 "460" 1
515 "460" 1
588 "460" 1
623 "460" 1
13 "461" 1
42 "461" 1
44 "461" 1
61 "461" 1
75 "461" 1
86 "461" 1
111 "461" 1
127 "461" 1
145 "461" 1
152 "461" 1
157 "461" 1
184 "461" 1
229 "461" 1
307 "461" 1
311 "461" 1
348 "461" 1
368 "461" 1
389 "461" 1
397 "461" 1
424 "461" 1
425 "461" 1
461 "461" 1
524 "461" 1
574 "461" 1
582 "461" 1
591 "461" 1
597 "461" 1
602 "461" 1
608 "461" 1
624 "461" 1
669 "461" 1
673 "461" 1
36 "462" 1
49 "462" 1
51 "462" 1
59 "462" 1
88 "462" 1
93 "462" 1
102 "462" 1
121 "462" 1
149 "462" 1
243 "462" 1
296 "462" 1
317 "462" 1
330 "462" 1
429 "462" 1
440 "462" 1
455 "462" 1
456 "462" 1
459 "462" 1
486 "462" 1
589 "462" 1
598 "462" 1
617 "462" 1
625 "462" 1
695 "462" 1
627 "467" 1
292 "471" 1
86 "473" 1
152 "473" 1
368 "473" 1
582 "473" 1
86 "476" 1
152 "476" 1
368 "476" 1
582 "476" 1
653 "478" 1
69 "483" 1
197 "483" 1
632 "484" 1
632 "485" 1
632 "486" 1
632 "487" 1
632 "488" 1
11 "494" 1
86 "494" 1
152 "494" 1
300 "494" 1
368 "494" 1
582 "494" 1
639 "494" 1
11 "495" 1
300 "495" 1
269 "496" 1
638 "496" 1
269 "497" 1
638 "497" 1
529 "498" 1
434 "506" 1
500 "506" 1
551 "506" 1
553 "506" 1
540 "510" 1
69 "513" 1
197 "513" 1
505 "514" 1
383 "515" 1
87 "516" 1
282 "517" 1
357 "519" 1
632 "524" 1
506 "525" 1
256 "527" 1
566 "528" 1
94 "529" 1
252 "529" 1
3 "531" 1
21 "539" 1
522 "546" 1
580 "546" 1
24 "547" 1
63 "547" 1
117 "547" 1
280 "547" 1
287 "547" 1
375 "547" 1
23 "555" 1
49 "562" 1
102 "562" 1
121 "562" 1
617 "562" 1
625 "562" 1
695 "562" 1
394 "564" 1
122 "569" 1
522 "570" 1
218 "571" 1
364 "571" 1
586 "573" 1
533 "574" 1
98 "575" 1
570 "584" 1
292 "585" 1
562 "589" 1
276 "590" 1
312 "592" 1
653 "593" 1
362 "606" 1
129 "609" 1
262 "609" 1
659 "609" 1
497 "611" 1
124 "614" 1
243 "614" 1
522 "614" 1
122 "615" 1
509 "618" 1
390 "622" 1
500 "622" 1
580 "625" 1
574 "626" 1
574 "628" 1
94 "636" 1
269 "636" 1
503 "637" 1
580 "637" 1
281 "638" 1
221 "641" 1
662 "642" 1
497 "643" 1
262 "647" 1
580 "647" 1
653 "648" 1
505 "649" 1
574 "658" 1
510 "662" 1
538 "664" 1
357 "666" 1
562 "670" 1
375 "671" 1
596 "674" 1
269 "675" 1
562 "682" 1
267 "687" 1
269 "690" 1
27 "695" 1
63 "697" 1
287 "697" 1
375 "697" 1
442 "697" 1
470 "697" 1
538 "697" 1
681 "697" 1
653 "708" 1
369 "710" 1
580 "710" 1
497 "716" 1
267 "718" 1
596 "721" 1
263 "723" 1
676 "723" 1
69 "727" 1
357 "728" 1
292 "738" 1
191 "739" 1
421 "740" 1
574 "743" 1
20 "745" 1
357 "746" 1
282 "753" 1
287 "766" 1
442 "766" 1
538 "766" 1
681 "766" 1
211 "774" 1
211 "779" 1
227 "784" 1
98 "815" 1
252 "815" 1
434 "818" 1
487 "818" 1
580 "852" 1
382 "853" 1
434 "853" 1
434 "854" 1
252 "855" 1
382 "855" 1
434 "855" 1
595 "855" 1
20 "857" 1
116 "859" 1
122 "860" 1
122 "861" 1
135 "917" 1
171 "917" 1
300 "917" 1
340 "917" 1
479 "917" 1
618 "917" 1
263 "919" 1
16 "923" 1
362 "923" 1
434 "923" 1
508 "923" 1
628 "923" 1
656 "923" 1
670 "923" 1
16 "925" 1
362 "925" 1
434 "925" 1
508 "925" 1
628 "925" 1
670 "925" 1
470 "932" 1
134 "941" 1
293 "941" 1
484 "941" 1
9 "985" 1
11 "986" 1
86 "986" 1
152 "986" 1
300 "986" 1
368 "986" 1
582 "986" 1
639 "986" 1
292 "987" 1
13 "988" 1
44 "988" 1
111 "988" 1
145 "988" 1
159 "988" 1
184 "988" 1
307 "988" 1
311 "988" 1
389 "988" 1
397 "988" 1
424 "988" 1
524 "988" 1
608 "988" 1
669 "988" 1
673 "988" 1
13 "989" 1
44 "989" 1
111 "989" 1
145 "989" 1
184 "989" 1
307 "989" 1
311 "989" 1
382 "989" 1
389 "989" 1
397 "989" 1
424 "989" 1
524 "989" 1
608 "989" 1
669 "989" 1
673 "989" 1
13 "990" 1
44 "990" 1
111 "990" 1
145 "990" 1
184 "990" 1
307 "990" 1
311 "990" 1
382 "990" 1
389 "990" 1
397 "990" 1
424 "990" 1
524 "990" 1
608 "990" 1
669 "990" 1
673 "990" 1
15 "991" 1
15 "992" 1
15 "993" 1
134 "994" 1
139 "994" 1
144 "994" 1
272 "994" 1
293 "994" 1
500 "994" 1
551 "994" 1
134 "995" 1
139 "995" 1
144 "995" 1
293 "995" 1
500 "995" 1
551 "995" 1
139 "996" 1
293 "996" 1
139 "997" 1
293 "997" 1
139 "998" 1
293 "998" 1
134 "999" 1
139 "999" 1
144 "999" 1
272 "999" 1
293 "999" 1
500 "999" 1
551 "999" 1
41 "1001" 1
430 "1007" 1
447 "1007" 1
522 "1010" 1
522 "1011" 1
104 "1012" 1
252 "1016" 1
269 "1023" 1
315 "1030" 1
434 "1035" 1
487 "1035" 1
47 "1039" 1
537 "1042" 1
69 "1056" 1
21 "1061" 1
527 "1067" 1
189 "1120" 1
189 "1139" 1
334 "1140" 1
116 "1146" 1
492 "1147" 1
26 "1149" 1
407 "1149" 1
26 "1150" 1
407 "1150" 1
402 "1151" 1
442 "1151" 1
272 "1152" 1
500 "1152" 1
500 "1153" 1
276 "1154" 1
276 "1155" 1
276 "1156" 1
318 "1161" 1
239 "1162" 1
574 "1162" 1
239 "1163" 1
574 "1163" 1
11 "1164" 1
300 "1164" 1
11 "1165" 1
300 "1165" 1
571 "1165" 1
639 "1165" 1
11 "1166" 1
300 "1166" 1
13 "1167" 1
44 "1167" 1
111 "1167" 1
145 "1167" 1
184 "1167" 1
307 "1167" 1
311 "1167" 1
389 "1167" 1
397 "1167" 1
424 "1167" 1
524 "1167" 1
602 "1167" 1
608 "1167" 1
669 "1167" 1
673 "1167" 1
13 "1168" 1
44 "1168" 1
111 "1168" 1
145 "1168" 1
184 "1168" 1
307 "1168" 1
311 "1168" 1
389 "1168" 1
397 "1168" 1
424 "1168" 1
524 "1168" 1
608 "1168" 1
669 "1168" 1
673 "1168" 1
13 "1169" 1
44 "1169" 1
111 "1169" 1
145 "1169" 1
184 "1169" 1
307 "1169" 1
311 "1169" 1
389 "1169" 1
397 "1169" 1
424 "1169" 1
524 "1169" 1
608 "1169" 1
669 "1169" 1
673 "1169" 1
13 "1170" 1
44 "1170" 1
111 "1170" 1
145 "1170" 1
184 "1170" 1
307 "1170" 1
311 "1170" 1
389 "1170" 1
397 "1170" 1
424 "1170" 1
524 "1170" 1
608 "1170" 1
669 "1170" 1
673 "1170" 1
13 "1171" 1
44 "1171" 1
111 "1171" 1
145 "1171" 1
184 "1171" 1
307 "1171" 1
311 "1171" 1
389 "1171" 1
397 "1171" 1
424 "1171" 1
524 "1171" 1
608 "1171" 1
669 "1171" 1
673 "1171" 1
357 "1173" 1
65 "1174" 1
94 "1174" 1
176 "1174" 1
65 "1175" 1
94 "1175" 1
176 "1175" 1
94 "1176" 1
47 "1177" 1
47 "1178" 1
47 "1179" 1
47 "1180" 1
47 "1181" 1
533 "1182" 1
383 "1184" 1
434 "1184" 1
434 "1185" 1
434 "1186" 1
434 "1187" 1
434 "1188" 1
434 "1189" 1
509 "1197" 1
505 "1202" 1
133 "1203" 1
139 "1203" 1
