	drug	protein	value
739	191	381	1
740	191	395	1
741	191	404	1
742	192	334	1
743	192	340	1
744	193	340	1
745	193	353	1
746	193	380	1
747	193	391	1
748	193	435	1
749	193	453	1
750	193	454	1
751	193	456	1
752	193	457	1
753	193	469	1
754	193	485	1
755	194	343	1
756	195	420	1
757	196	406	1
758	197	448	1
759	197	450	1
760	198	400	1
761	198	422	1
762	199	350	1
763	199	357	1
764	199	369	1
765	199	385	1
766	199	410	1
767	200	420	1
768	201	381	1
769	202	402	1
770	203	351	1
771	203	406	1
772	203	427	1
773	204	406	1
774	204	427	1
775	205	336	1
776	205	351	1
777	205	410	1
778	206	426	1
779	207	313	1
780	208	350	1
781	209	344	1
782	210	399	1
783	210	448	1
784	211	314	1
785	211	332	1
786	211	362	1
787	211	404	1
788	211	420	1
789	212	455	1
790	213	313	1
791	214	311	1
792	215	427	1
793	216	353	1
794	216	370	1
795	216	391	1
796	216	452	1
797	216	469	1
798	217	313	1
799	218	344	1
800	218	348	1
801	218	349	1
802	219	335	1
803	220	369	1
804	220	374	1
805	220	409	1
806	220	435	1
807	220	463	1
808	220	464	1
809	220	468	1
810	220	472	1
811	221	446	1
812	222	319	1
813	222	347	1
814	222	365	1
815	222	395	1
816	223	456	1
817	224	349	1
818	225	352	1
819	225	402	1
820	226	313	1
821	227	325	1
822	227	395	1
823	228	336	1
824	228	410	1
825	228	438	1
826	229	344	1
827	230	329	1
828	230	379	1
829	230	388	1
830	230	416	1
831	230	426	1
832	230	460	1
833	230	461	1
834	230	462	1
835	230	478	1
836	230	479	1
837	230	480	1
838	230	482	1
839	231	319	1
840	231	325	1
841	231	347	1
842	231	365	1
843	231	375	1
844	231	385	1
845	231	395	1
846	231	420	1
847	232	355	1
848	233	363	1
849	233	375	1
850	233	389	1
851	234	319	1
852	234	395	1
853	235	321	1
854	235	382	1
855	235	448	1
856	235	450	1
857	236	369	1
858	236	398	1
859	236	420	1
860	237	419	1
861	238	381	1
862	238	419	1
863	239	310	1
864	239	324	1
865	239	393	1
866	240	382	1
867	241	381	1
868	241	419	1
869	242	369	1
870	242	423	1
871	242	435	1
872	242	463	1
873	242	464	1
874	242	468	1
875	243	336	1
876	243	435	1
877	244	370	1
878	244	393	1
879	244	413	1
880	244	415	1
881	245	335	1
882	246	324	1
883	246	335	1
884	246	385	1
885	246	410	1
886	247	319	1
887	247	325	1
888	247	326	1
889	247	347	1
890	247	350	1
891	247	351	1
892	247	357	1
893	247	363	1
894	247	365	1
895	247	375	1
896	247	381	1
897	247	385	1
898	247	389	1
899	247	396	1
900	247	397	1
901	247	414	1
902	247	419	1
903	247	420	1
904	248	395	1
905	249	350	1
906	249	351	1
907	249	375	1
908	249	381	1
909	249	389	1
910	249	397	1
911	249	404	1
912	249	419	1
913	250	319	1
914	250	325	1
915	250	336	1
916	250	347	1
917	250	365	1
918	250	381	1
919	250	385	1
920	250	395	1
921	250	410	1
922	250	419	1
923	251	404	1
924	251	476	1
925	252	387	1
926	252	390	1
927	252	393	1
928	252	402	1
929	252	426	1
930	252	473	1
931	252	474	1
932	253	337	1
933	253	402	1
934	253	404	1
935	254	324	1
936	254	385	1
937	254	414	1
938	255	438	1
939	255	447	1
940	255	449	1
941	256	337	1
942	256	360	1
943	256	381	1
944	256	390	1
945	256	402	1
946	257	379	1
947	257	388	1
948	257	426	1
949	257	428	1
950	257	429	1
951	257	459	1
952	258	324	1
953	259	328	1
954	259	371	1
955	259	422	1
956	260	398	1
957	261	328	1
958	261	330	1
959	262	332	1
960	262	350	1
961	262	351	1
962	262	357	1
963	262	362	1
964	262	363	1
965	262	375	1
966	262	385	1
967	262	389	1
968	262	396	1
969	262	397	1
970	262	398	1
971	262	406	1
972	262	414	1
973	262	420	1
974	262	427	1
975	263	387	1
976	263	401	1
977	263	423	1
978	264	336	1
979	265	353	1
980	266	454	1
981	267	328	1
982	268	388	1
983	268	416	1
984	269	314	1
985	269	332	1
986	269	350	1
987	269	351	1
988	269	357	1
989	269	362	1
990	269	363	1
991	269	375	1
992	269	385	1
993	269	389	1
994	269	396	1
995	269	397	1
996	269	398	1
997	269	405	1
998	269	406	1
999	269	414	1
1000	269	420	1
1001	270	336	1
1002	271	426	1
1003	272	410	1
1004	273	410	1
1005	274	329	1
1006	274	388	1
1007	274	426	1
1008	274	460	1
1009	274	461	1
1010	274	462	1
1011	274	478	1
1012	274	480	1
1013	274	481	1
1014	274	482	1
1015	275	402	1
1016	276	314	1
1017	276	319	1
1018	276	325	1
1019	276	332	1
1020	276	347	1
1021	276	350	1
1022	276	351	1
1023	276	352	1
1024	276	357	1
1025	276	362	1
1026	276	365	1
1027	276	375	1
1028	276	385	1
1029	276	389	1
1030	276	395	1
1031	276	396	1
1032	276	397	1
1033	276	405	1
1034	276	406	1
1035	276	414	1
1036	276	420	1
1037	276	427	1
1038	276	440	1
1039	277	395	1
1040	277	417	1
1041	277	455	1
1042	278	317	1
1043	279	323	1
1044	279	325	1
1045	280	310	1
1046	280	372	1
1047	281	387	1
1048	281	423	1
1049	281	426	1
1050	282	314	1
1051	282	319	1
1052	282	325	1
1053	282	332	1
1054	282	347	1
1055	282	350	1
1056	282	351	1
1057	282	352	1
1058	282	357	1
1059	282	362	1
1060	282	365	1
1061	282	375	1
1062	282	385	1
1063	282	389	1
1064	282	396	1
1065	282	397	1
1066	282	398	1
1067	282	405	1
1068	282	406	1
1069	282	420	1
1070	282	427	1
1071	282	440	1
1072	283	363	1
1073	283	375	1
1074	283	381	1
1075	283	419	1
1076	284	457	1
1077	285	346	1
1078	286	341	1
1079	286	376	1
1080	287	333	1
1081	287	341	1
1082	287	361	1
1083	287	376	1
1084	287	433	1
1085	287	434	1
1086	288	431	1
1087	288	476	1
1088	289	336	1
1089	290	395	1
1090	290	417	1
1091	291	327	1
1092	291	373	1
1093	291	381	1
1094	292	346	1
1095	293	344	1
1096	294	328	1
1097	294	394	1
1098	295	319	1
1099	295	325	1
1100	296	411	1
1101	297	329	1
1102	297	379	1
1103	297	388	1
1104	297	426	1
1105	297	460	1
1106	297	461	1
1107	297	462	1
1108	297	478	1
1109	297	479	1
1110	297	480	1
1111	297	482	1
1112	298	327	1
1113	298	350	1
1114	298	357	1
1115	298	396	1
1116	298	404	1
1117	298	419	1
1118	298	456	1
1119	298	457	1
1120	299	319	1
1121	299	325	1
1122	299	365	1
1123	299	395	1
1124	300	329	1
1125	300	388	1
1126	300	426	1
1127	300	460	1
1128	300	461	1
1129	300	462	1
1130	300	478	1
1131	300	479	1
1132	300	480	1
1133	300	481	1
1134	300	482	1
1135	301	325	1
1136	301	351	1
1137	301	420	1
1138	302	314	1
1139	302	420	1
1140	303	448	1
1141	303	450	1
1142	304	336	1
1143	305	381	1
1144	305	419	1
1145	306	352	1
1146	306	371	1
1147	306	381	1
1148	306	400	1
1149	306	422	1
1150	307	314	1
1151	307	326	1
1152	307	336	1
1153	307	350	1
1154	307	351	1
1155	307	357	1
1156	307	363	1
1157	307	375	1
1158	307	385	1
1159	307	389	1
1160	307	396	1
1161	307	398	1
1162	307	405	1
1163	307	410	1
1164	307	420	1
1165	307	427	1
1166	307	440	1
1167	308	371	1
1168	308	400	1
1169	309	422	1
