	drug	protein	value
1130	312	480	1
1131	312	534	1
1132	312	624	1
1133	313	529	1
1134	314	398	1
1135	314	401	1
1136	314	579	1
1137	315	372	1
1138	315	407	1
1139	315	450	1
1140	315	460	1
1141	315	471	1
1142	315	472	1
1143	315	487	1
1144	315	506	1
1145	315	515	1
1146	315	526	1
1147	315	528	1
1148	315	529	1
1149	315	542	1
1150	315	554	1
1151	315	569	1
1152	315	581	1
1153	316	508	1
1154	316	537	1
1155	316	576	1
1156	317	415	1
1157	318	455	1
1158	319	694	1
1159	320	398	1
1160	320	661	1
1161	320	673	1
1162	321	514	1
1163	321	560	1
1164	322	372	1
1165	322	407	1
1166	322	449	1
1167	322	450	1
1168	322	460	1
1169	322	471	1
1170	322	472	1
1171	322	487	1
1172	322	506	1
1173	322	526	1
1174	322	528	1
1175	322	529	1
1176	322	541	1
1177	322	542	1
1178	322	554	1
1179	322	569	1
1180	322	581	1
1181	323	549	1
1182	324	580	1
1183	325	549	1
1184	326	549	1
1185	327	399	1
1186	327	514	1
1187	327	580	1
1188	327	710	1
1189	327	711	1
1190	327	712	1
1191	327	754	1
1192	327	756	1
1193	327	757	1
1194	327	758	1
1195	328	538	1
1196	328	569	1
1197	329	372	1
1198	329	380	1
1199	329	392	1
1200	329	407	1
1201	329	436	1
1202	329	449	1
1203	329	450	1
1204	329	453	1
1205	329	460	1
1206	329	471	1
1207	329	474	1
1208	329	487	1
1209	329	506	1
1210	329	515	1
1211	329	524	1
1212	329	526	1
1213	329	528	1
1214	329	529	1
1215	329	541	1
1216	329	542	1
1217	329	554	1
1218	329	569	1
1219	329	619	1
1220	330	380	1
1221	330	561	1
1222	330	700	1
1223	331	435	1
1224	332	392	1
1225	332	569	1
1226	333	387	1
1227	333	481	1
1228	333	579	1
1229	334	537	1
1230	334	576	1
1231	334	580	1
1232	335	372	1
1233	335	380	1
1234	335	392	1
1235	335	407	1
1236	335	436	1
1237	335	449	1
1238	335	450	1
1239	335	453	1
1240	335	460	1
1241	335	471	1
1242	335	474	1
1243	335	487	1
1244	335	506	1
1245	335	515	1
1246	335	524	1
1247	335	526	1
1248	335	528	1
1249	335	529	1
1250	335	541	1
1251	335	542	1
1252	335	581	1
1253	335	619	1
1254	336	472	1
1255	336	487	1
1256	336	515	1
1257	336	567	1
1258	336	582	1
1259	337	702	1
1260	338	435	1
1261	339	422	1
1262	339	485	1
1263	339	488	1
1264	339	588	1
1265	339	589	1
1266	339	590	1
1267	339	591	1
1268	339	592	1
1269	339	606	1
1270	340	373	1
1271	340	376	1
1272	340	409	1
1273	340	422	1
1274	340	469	1
1275	340	488	1
1276	340	596	1
1277	341	708	1
1278	341	752	1
1279	342	415	1
1280	343	524	1
1281	343	561	1
1282	344	633	1
1283	344	651	1
1284	344	669	1
1285	345	397	1
1286	345	482	1
1287	345	501	1
1288	346	702	1
1289	347	426	1
1290	347	635	1
1291	348	405	1
1292	349	398	1
1293	349	401	1
1294	349	421	1
1295	349	523	1
1296	350	380	1
1297	350	392	1
1298	351	551	1
1299	352	399	1
1300	352	499	1
1301	352	514	1
1302	352	580	1
1303	352	710	1
1304	352	711	1
1305	352	712	1
1306	352	754	1
1307	352	755	1
1308	352	756	1
1309	352	757	1
1310	353	397	1
1311	353	449	1
1312	353	460	1
1313	353	526	1
1314	353	540	1
1315	353	567	1
1316	353	702	1
1317	353	703	1
1318	354	380	1
1319	354	392	1
1320	354	474	1
1321	354	524	1
1322	355	399	1
1323	355	499	1
1324	355	514	1
1325	355	580	1
1326	355	710	1
1327	355	712	1
1328	355	754	1
1329	355	755	1
1330	355	756	1
1331	355	757	1
1332	355	758	1
1333	356	674	1
1334	357	392	1
1335	357	450	1
1336	357	487	1
1337	358	372	1
1338	358	487	1
1339	359	502	1
1340	359	684	1
1341	360	415	1
1342	361	467	1
1343	361	567	1
1344	362	453	1
1345	362	501	1
1346	362	534	1
1347	362	567	1
1348	362	572	1
1349	363	414	1
1350	364	372	1
1351	364	415	1
1352	364	449	1
1353	364	450	1
1354	364	460	1
1355	364	471	1
1356	364	472	1
1357	364	487	1
1358	364	506	1
1359	364	515	1
1360	364	526	1
1361	364	529	1
1362	364	541	1
1363	364	549	1
1364	364	569	1
1365	364	581	1
1366	364	619	1
1367	365	534	1
1368	365	572	1
1369	366	449	1
1370	367	534	1
