	drug	disease	value
205	0	1598	1
206	0	1599	1
207	0	1603	1
208	0	1605	1
209	0	1624	1
210	0	1628	1
211	0	1646	1
212	0	1648	1
213	0	1649	1
214	0	1666	1
215	0	1667	1
216	0	1678	1
217	0	1680	1
218	0	1689	1
219	0	1705	1
220	0	1707	1
221	0	1711	1
222	0	1721	1
223	0	1731	1
224	0	1754	1
225	0	1757	1
226	0	1762	1
227	0	1794	1
228	0	1805	1
229	0	1811	1
230	0	1826	1
231	0	1831	1
232	0	1840	1
233	0	1845	1
234	0	1864	1
235	0	1866	1
236	0	1875	1
237	0	1876	1
238	0	1880	1
239	0	1883	1
240	0	1895	1
241	0	1899	1
242	0	1910	1
243	0	1912	1
244	0	1915	1
245	0	1925	1
246	0	1949	1
247	0	1984	1
248	0	1985	1
249	0	1998	1
250	0	2013	1
251	0	2015	1
252	0	2031	1
253	0	2032	1
254	0	2043	1
255	0	2044	1
256	0	2045	1
257	0	2056	1
258	0	2059	1
259	0	2061	1
260	0	2075	1
261	0	2078	1
262	0	2087	1
263	0	2103	1
264	0	2112	1
265	0	2162	1
266	0	2170	1
267	0	2171	1
268	0	2183	1
269	0	2185	1
270	0	2192	1
271	0	2237	1
272	0	2244	1
273	0	2255	1
274	0	2261	1
275	0	2266	1
276	0	2271	1
277	0	2278	1
278	0	2303	1
279	0	2338	1
280	0	2352	1
281	0	2361	1
282	0	2373	1
283	0	2396	1
284	0	2429	1
285	0	2441	1
286	0	2447	1
287	0	2478	1
288	0	2491	1
289	0	2518	1
290	0	2519	1
291	0	2523	1
292	0	2558	1
293	0	2611	1
294	0	2660	1
295	0	2673	1
296	0	2694	1
297	0	2702	1
298	0	2791	1
299	0	2795	1
300	0	2810	1
301	0	2814	1
302	0	2825	1
303	0	2832	1
304	0	2872	1
305	0	2892	1
306	0	2923	1
307	0	2925	1
308	0	2967	1
309	0	2988	1
310	0	2989	1
311	0	3002	1
312	0	3016	1
313	0	3127	1
314	0	3165	1
315	0	3230	1
316	0	3249	1
317	0	3316	1
318	0	3362	1
319	0	3438	1
320	0	3515	1
321	0	3516	1
322	0	3517	1
323	0	3518	1
324	0	3519	1
325	0	3520	1
326	0	3547	1
327	0	3607	1
328	0	3621	1
329	0	3792	1
330	0	3796	1
331	0	3851	1
332	0	4012	1
333	0	4023	1
334	0	4024	1
335	0	4028	1
336	0	4077	1
337	0	4360	1
338	0	4498	1
339	0	4566	1
340	0	4642	1
341	0	5122	1
342	0	5618	1
343	0	5670	1
344	0	5722	1
345	0	5723	1
346	1	698	1
347	1	699	1
348	1	702	1
349	1	705	1
350	1	706	1
351	1	709	1
352	1	710	1
353	1	718	1
354	1	720	1
355	1	721	1
356	1	725	1
357	1	731	1
358	1	736	1
359	1	739	1
360	1	741	1
361	1	743	1
362	1	745	1
363	1	746	1
364	1	748	1
365	1	754	1
366	1	757	1
367	1	768	1
368	1	773	1
369	1	784	1
370	1	786	1
371	1	792	1
372	1	793	1
373	1	797	1
374	1	805	1
375	1	810	1
376	1	811	1
377	1	813	1
378	1	816	1
379	1	827	1
380	1	837	1
381	1	851	1
382	1	869	1
383	1	877	1
384	1	878	1
385	1	879	1
386	1	881	1
387	1	898	1
388	1	907	1
389	1	910	1
390	1	913	1
391	1	914	1
392	1	915	1
393	1	936	1
394	1	940	1
395	1	950	1
396	1	951	1
397	1	957	1
398	1	968	1
399	1	977	1
400	1	981	1
401	1	988	1
402	1	989	1
403	1	995	1
404	1	1007	1
405	1	1037	1
406	1	1046	1
407	1	1064	1
408	1	1069	1
409	1	1071	1
410	1	1078	1
411	1	1081	1
412	1	1085	1
413	1	1116	1
414	1	1119	1
415	1	1138	1
416	1	1170	1
417	1	1172	1
418	1	1215	1
419	1	1219	1
420	1	1268	1
421	1	1299	1
422	1	1331	1
423	1	1362	1
424	1	1431	1
425	1	1476	1
426	1	1486	1
427	1	1490	1
428	1	1491	1
429	1	1492	1
430	1	1494	1
431	1	1496	1
432	1	1499	1
433	1	1502	1
434	1	1525	1
435	1	1532	1
436	1	1543	1
437	1	1545	1
438	1	1554	1
439	1	1584	1
440	1	1642	1
441	1	1678	1
442	1	1687	1
443	1	1692	1
444	1	1754	1
445	1	1762	1
446	1	1845	1
447	1	1866	1
448	1	1899	1
449	1	1911	1
450	1	1955	1
451	1	1983	1
452	1	2044	1
453	1	2046	1
454	1	2055	1
455	1	2061	1
456	1	2523	1
457	1	2606	1
458	1	2622	1
459	1	2865	1
460	1	2959	1
461	1	3002	1
462	1	3092	1
463	1	3099	1
464	1	3325	1
465	1	4011	1
466	1	5504	1
467	2	698	1
468	2	699	1
469	2	701	1
470	2	702	1
471	2	703	1
472	2	705	1
473	2	706	1
474	2	707	1
475	2	709	1
476	2	711	1
477	2	712	1
478	2	713	1
479	2	714	1
480	2	715	1
481	2	717	1
482	2	718	1
483	2	719	1
484	2	720	1
485	2	721	1
486	2	722	1
487	2	724	1
488	2	725	1
489	2	726	1
490	2	727	1
491	2	729	1
492	2	730	1
493	2	731	1
494	2	733	1
495	2	734	1
496	2	736	1
497	2	737	1
498	2	738	1
499	2	739	1
500	2	740	1
501	2	741	1
502	2	742	1
503	2	743	1
504	2	744	1
505	2	745	1
506	2	746	1
507	2	747	1
508	2	748	1
509	2	749	1
510	2	750	1
511	2	751	1
512	2	753	1
513	2	754	1
514	2	755	1
515	2	756	1
516	2	757	1
517	2	758	1
518	2	761	1
519	2	762	1
520	2	763	1
521	2	766	1
522	2	767	1
523	2	768	1
524	2	770	1
525	2	771	1
526	2	773	1
527	2	775	1
528	2	778	1
529	2	780	1
530	2	781	1
531	2	783	1
532	2	784	1
533	2	786	1
534	2	787	1
535	2	788	1
536	2	792	1
537	2	793	1
538	2	794	1
539	2	795	1
540	2	796	1
541	2	797	1
542	2	799	1
543	2	800	1
544	2	801	1
545	2	802	1
546	2	804	1
547	2	805	1
548	2	806	1
549	2	807	1
550	2	809	1
551	2	810	1
552	2	811	1
553	2	812	1
554	2	813	1
555	2	816	1
556	2	820	1
557	2	821	1
558	2	822	1
559	2	823	1
560	2	826	1
561	2	827	1
562	2	828	1
563	2	837	1
564	2	840	1
565	2	841	1
566	2	844	1
567	2	845	1
568	2	846	1
569	2	847	1
570	2	848	1
571	2	849	1
572	2	851	1
573	2	854	1
574	2	858	1
575	2	862	1
576	2	864	1
577	2	865	1
578	2	867	1
579	2	868	1
580	2	869	1
581	2	870	1
582	2	871	1
583	2	872	1
584	2	873	1
585	2	875	1
586	2	877	1
587	2	878	1
588	2	879	1
589	2	880	1
590	2	881	1
591	2	884	1
592	2	885	1
593	2	886	1
594	2	887	1
595	2	888	1
596	2	889	1
597	2	890	1
598	2	892	1
599	2	894	1
600	2	897	1
601	2	898	1
602	2	899	1
603	2	900	1
604	2	901	1
605	2	907	1
606	2	909	1
607	2	910	1
608	2	911	1
609	2	912	1
610	2	913	1
611	2	914	1
612	2	915	1
613	2	919	1
614	2	920	1
615	2	921	1
616	2	922	1
617	2	924	1
618	2	925	1
619	2	927	1
620	2	929	1
621	2	930	1
622	2	931	1
623	2	932	1
624	2	933	1
625	2	934	1
626	2	935	1
627	2	936	1
628	2	937	1
629	2	938	1
630	2	939	1
631	2	940	1
632	2	941	1
633	2	942	1
634	2	944	1
635	2	946	1
636	2	947	1
637	2	949	1
638	2	950	1
639	2	951	1
640	2	952	1
641	2	953	1
642	2	954	1
643	2	955	1
644	2	957	1
645	2	958	1
646	2	960	1
647	2	961	1
648	2	963	1
649	2	964	1
650	2	968	1
651	2	969	1
652	2	970	1
653	2	972	1
654	2	975	1
655	2	977	1
656	2	981	1
657	2	982	1
658	2	984	1
659	2	985	1
660	2	988	1
661	2	989	1
662	2	991	1
663	2	995	1
664	2	997	1
665	2	998	1
666	2	999	1
667	2	1000	1
668	2	1004	1
669	2	1007	1
670	2	1018	1
671	2	1026	1
672	2	1027	1
673	2	1028	1
674	2	1029	1
675	2	1030	1
676	2	1031	1
677	2	1032	1
678	2	1034	1
679	2	1036	1
680	2	1037	1
681	2	1043	1
682	2	1046	1
683	2	1047	1
684	2	1048	1
685	2	1049	1
686	2	1050	1
687	2	1054	1
688	2	1056	1
689	2	1057	1
690	2	1062	1
691	2	1064	1
692	2	1067	1
693	2	1068	1
694	2	1069	1
695	2	1070	1
696	2	1071	1
697	2	1073	1
698	2	1075	1
699	2	1077	1
700	2	1078	1
701	2	1080	1
702	2	1081	1
703	2	1085	1
704	2	1086	1
705	2	1087	1
706	2	1088	1
707	2	1090	1
708	2	1091	1
709	2	1093	1
710	2	1094	1
711	2	1095	1
712	2	1098	1
713	2	1100	1
714	2	1101	1
715	2	1103	1
716	2	1108	1
717	2	1109	1
718	2	1111	1
719	2	1112	1
720	2	1113	1
721	2	1114	1
722	2	1115	1
723	2	1116	1
724	2	1118	1
725	2	1119	1
726	2	1120	1
727	2	1124	1
728	2	1127	1
729	2	1128	1
730	2	1135	1
731	2	1139	1
732	2	1147	1
733	2	1154	1
734	2	1161	1
735	2	1164	1
736	2	1166	1
737	2	1172	1
738	2	1173	1
739	2	1176	1
740	2	1179	1
741	2	1181	1
742	2	1185	1
743	2	1190	1
744	2	1193	1
745	2	1194	1
746	2	1200	1
747	2	1204	1
748	2	1207	1
749	2	1216	1
750	2	1217	1
751	2	1219	1
752	2	1230	1
753	2	1234	1
754	2	1239	1
755	2	1253	1
756	2	1256	1
757	2	1259	1
758	2	1261	1
759	2	1266	1
760	2	1268	1
761	2	1269	1
762	2	1270	1
763	2	1273	1
764	2	1274	1
765	2	1275	1
766	2	1277	1
767	2	1279	1
768	2	1281	1
769	2	1289	1
770	2	1295	1
771	2	1296	1
772	2	1297	1
773	2	1299	1
774	2	1300	1
775	2	1312	1
776	2	1314	1
777	2	1315	1
778	2	1324	1
779	2	1325	1
780	2	1331	1
781	2	1333	1
782	2	1339	1
783	2	1341	1
784	2	1345	1
785	2	1347	1
786	2	1348	1
787	2	1362	1
788	2	1364	1
789	2	1368	1
790	2	1371	1
791	2	1372	1
792	2	1379	1
793	2	1380	1
794	2	1381	1
795	2	1386	1
796	2	1389	1
797	2	1403	1
798	2	1407	1
799	2	1409	1
800	2	1410	1
801	2	1411	1
802	2	1412	1
803	2	1417	1
804	2	1425	1
805	2	1426	1
806	2	1431	1
807	2	1434	1
808	2	1440	1
809	2	1445	1
810	2	1446	1
811	2	1457	1
812	2	1464	1
813	2	1465	1
814	2	1467	1
815	2	1470	1
816	2	1472	1
817	2	1477	1
818	2	1478	1
819	2	1479	1
820	2	1482	1
821	2	1486	1
822	2	1487	1
823	2	1489	1
824	2	1490	1
825	2	1491	1
826	2	1492	1
827	2	1496	1
828	2	1498	1
829	2	1499	1
830	2	1502	1
831	2	1504	1
832	2	1508	1
833	2	1514	1
834	2	1515	1
835	2	1516	1
836	2	1517	1
837	2	1518	1
838	2	1519	1
839	2	1520	1
840	2	1521	1
841	2	1525	1
842	2	1526	1
843	2	1527	1
844	2	1528	1
845	2	1530	1
846	2	1531	1
847	2	1532	1
848	2	1535	1
849	2	1536	1
850	2	1538	1
851	2	1539	1
852	2	1542	1
853	2	1543	1
854	2	1544	1
855	2	1545	1
856	2	1546	1
857	2	1548	1
858	2	1551	1
859	2	1552	1
860	2	1554	1
861	2	1556	1
862	2	1557	1
863	2	1562	1
864	2	1570	1
865	2	1571	1
866	2	1572	1
867	2	1577	1
868	2	1581	1
869	2	1582	1
870	2	1583	1
871	2	1584	1
872	2	1585	1
873	2	1593	1
874	2	1598	1
875	2	1599	1
876	2	1601	1
877	2	1603	1
878	2	1604	1
879	2	1605	1
880	2	1607	1
881	2	1609	1
882	2	1618	1
883	2	1621	1
884	2	1624	1
885	2	1628	1
886	2	1629	1
887	2	1635	1
888	2	1642	1
889	2	1645	1
890	2	1648	1
891	2	1649	1
892	2	1652	1
893	2	1653	1
894	2	1658	1
895	2	1659	1
896	2	1661	1
897	2	1663	1
898	2	1666	1
899	2	1667	1
900	2	1668	1
901	2	1677	1
902	2	1678	1
903	2	1680	1
904	2	1682	1
905	2	1683	1
906	2	1687	1
907	2	1689	1
908	2	1692	1
909	2	1693	1
910	2	1699	1
911	2	1701	1
912	2	1704	1
913	2	1711	1
914	2	1714	1
915	2	1716	1
916	2	1719	1
917	2	1721	1
918	2	1723	1
919	2	1724	1
920	2	1728	1
921	2	1729	1
922	2	1731	1
923	2	1732	1
924	2	1741	1
925	2	1745	1
926	2	1753	1
927	2	1754	1
928	2	1755	1
929	2	1756	1
930	2	1757	1
931	2	1762	1
932	2	1765	1
933	2	1766	1
934	2	1771	1
935	2	1777	1
936	2	1778	1
937	2	1781	1
938	2	1784	1
939	2	1785	1
940	2	1789	1
941	2	1791	1
942	2	1792	1
943	2	1804	1
944	2	1805	1
945	2	1811	1
946	2	1812	1
947	2	1815	1
948	2	1817	1
949	2	1826	1
950	2	1830	1
951	2	1831	1
952	2	1836	1
953	2	1837	1
954	2	1840	1
955	2	1843	1
956	2	1845	1
957	2	1855	1
958	2	1864	1
959	2	1866	1
960	2	1875	1
961	2	1878	1
962	2	1880	1
963	2	1883	1
964	2	1895	1
965	2	1897	1
966	2	1898	1
967	2	1899	1
968	2	1909	1
969	2	1910	1
970	2	1911	1
971	2	1918	1
972	2	1925	1
973	2	1929	1
974	2	1935	1
975	2	1939	1
976	2	1943	1
977	2	1947	1
978	2	1949	1
979	2	1954	1
980	2	1959	1
981	2	1961	1
982	2	1983	1
983	2	1984	1
984	2	1986	1
985	2	1998	1
986	2	2012	1
987	2	2015	1
988	2	2024	1
989	2	2027	1
990	2	2030	1
991	2	2031	1
992	2	2032	1
993	2	2033	1
994	2	2038	1
995	2	2039	1
996	2	2040	1
997	2	2043	1
998	2	2044	1
999	2	2046	1
1000	2	2049	1
1001	2	2055	1
1002	2	2056	1
1003	2	2057	1
1004	2	2058	1
1005	2	2059	1
1006	2	2061	1
1007	2	2064	1
1008	2	2070	1
1009	2	2071	1
1010	2	2075	1
1011	2	2078	1
1012	2	2087	1
1013	2	2096	1
1014	2	2103	1
1015	2	2109	1
1016	2	2120	1
1017	2	2122	1
1018	2	2136	1
1019	2	2144	1
1020	2	2152	1
1021	2	2157	1
1022	2	2159	1
1023	2	2162	1
1024	2	2165	1
1025	2	2170	1
1026	2	2171	1
1027	2	2173	1
1028	2	2174	1
1029	2	2180	1
1030	2	2182	1
1031	2	2185	1
1032	2	2187	1
1033	2	2192	1
1034	2	2193	1
1035	2	2231	1
1036	2	2233	1
1037	2	2236	1
1038	2	2238	1
1039	2	2240	1
1040	2	2242	1
1041	2	2243	1
1042	2	2249	1
1043	2	2255	1
1044	2	2257	1
1045	2	2258	1
1046	2	2261	1
1047	2	2263	1
1048	2	2270	1
1049	2	2271	1
1050	2	2275	1
1051	2	2299	1
1052	2	2301	1
1053	2	2323	1
1054	2	2331	1
1055	2	2334	1
1056	2	2338	1
1057	2	2342	1
1058	2	2346	1
1059	2	2352	1
1060	2	2361	1
1061	2	2367	1
1062	2	2390	1
1063	2	2402	1
1064	2	2403	1
1065	2	2410	1
1066	2	2412	1
1067	2	2413	1
1068	2	2420	1
1069	2	2429	1
1070	2	2439	1
1071	2	2445	1
1072	2	2447	1
1073	2	2457	1
1074	2	2473	1
1075	2	2476	1
1076	2	2477	1
1077	2	2485	1
1078	2	2487	1
1079	2	2491	1
1080	2	2499	1
1081	2	2500	1
1082	2	2515	1
1083	2	2518	1
1084	2	2519	1
1085	2	2523	1
1086	2	2529	1
1087	2	2531	1
1088	2	2558	1
1089	2	2587	1
1090	2	2599	1
1091	2	2601	1
1092	2	2606	1
1093	2	2607	1
1094	2	2611	1
1095	2	2615	1
1096	2	2616	1
1097	2	2622	1
1098	2	2625	1
1099	2	2627	1
1100	2	2641	1
1101	2	2651	1
1102	2	2675	1
1103	2	2687	1
1104	2	2694	1
1105	2	2695	1
1106	2	2705	1
1107	2	2714	1
1108	2	2719	1
1109	2	2721	1
1110	2	2723	1
1111	2	2739	1
1112	2	2754	1
1113	2	2759	1
1114	2	2763	1
1115	2	2767	1
1116	2	2776	1
1117	2	2791	1
1118	2	2795	1
1119	2	2800	1
1120	2	2814	1
1121	2	2821	1
1122	2	2832	1
1123	2	2841	1
1124	2	2842	1
1125	2	2845	1
1126	2	2852	1
1127	2	2865	1
1128	2	2879	1
1129	2	2892	1
1130	2	2919	1
1131	2	2923	1
1132	2	2925	1
1133	2	2941	1
1134	2	2944	1
1135	2	2959	1
1136	2	2967	1
1137	2	2976	1
1138	2	2988	1
1139	2	2989	1
1140	2	2999	1
1141	2	3002	1
1142	2	3019	1
1143	2	3046	1
1144	2	3092	1
1145	2	3096	1
1146	2	3097	1
1147	2	3122	1
1148	2	3123	1
1149	2	3127	1
1150	2	3130	1
1151	2	3145	1
1152	2	3164	1
1153	2	3180	1
1154	2	3190	1
1155	2	3230	1
1156	2	3249	1
1157	2	3260	1
1158	2	3270	1
1159	2	3282	1
1160	2	3287	1
1161	2	3288	1
1162	2	3292	1
1163	2	3301	1
1164	2	3310	1
1165	2	3325	1
1166	2	3330	1
1167	2	3334	1
1168	2	3362	1
1169	2	3388	1
1170	2	3389	1
1171	2	3400	1
1172	2	3419	1
1173	2	3435	1
1174	2	3438	1
1175	2	3440	1
1176	2	3447	1
1177	2	3448	1
1178	2	3486	1
1179	2	3494	1
1180	2	3502	1
1181	2	3515	1
1182	2	3522	1
1183	2	3523	1
1184	2	3531	1
1185	2	3547	1
1186	2	3561	1
1187	2	3600	1
1188	2	3607	1
1189	2	3614	1
1190	2	3621	1
1191	2	3633	1
1192	2	3654	1
1193	2	3655	1
1194	2	3663	1
1195	2	3664	1
1196	2	3666	1
1197	2	3702	1
1198	2	3733	1
1199	2	3735	1
1200	2	3751	1
1201	2	3755	1
1202	2	3765	1
1203	2	3780	1
1204	2	3890	1
1205	2	3891	1
1206	2	3896	1
1207	2	3897	1
1208	2	3898	1
1209	2	3899	1
1210	2	3900	1
1211	2	3901	1
1212	2	3903	1
1213	2	3904	1
1214	2	3905	1
1215	2	3906	1
1216	2	3907	1
1217	2	3908	1
1218	2	3909	1
1219	2	3910	1
1220	2	3911	1
1221	2	3912	1
1222	2	3913	1
1223	2	3914	1
1224	2	3915	1
1225	2	3962	1
1226	2	3967	1
1227	2	3986	1
1228	2	3988	1
1229	2	3999	1
1230	2	4032	1
1231	2	4033	1
1232	2	4034	1
1233	2	4082	1
1234	2	4154	1
1235	2	4165	1
1236	2	4166	1
1237	2	4167	1
1238	2	4186	1
1239	2	4332	1
1240	2	4373	1
1241	2	4374	1
1242	2	4423	1
1243	2	4424	1
1244	2	4425	1
1245	2	4426	1
1246	2	4427	1
1247	2	4428	1
1248	2	4435	1
1249	2	4436	1
1250	2	4437	1
1251	2	4438	1
1252	2	4480	1
1253	2	4574	1
1254	2	4581	1
1255	2	4629	1
1256	2	4636	1
1257	2	4637	1
1258	2	4658	1
1259	2	4668	1
1260	2	4672	1
1261	2	4673	1
1262	2	4771	1
1263	2	4776	1
1264	2	4820	1
1265	2	4828	1
1266	2	4839	1
1267	2	4840	1
1268	2	4933	1
1269	2	4946	1
1270	2	5033	1
1271	2	5126	1
1272	2	5127	1
1273	2	5144	1
1274	2	5164	1
1275	2	5165	1
1276	2	5236	1
1277	2	5237	1
1278	2	5238	1
1279	2	5239	1
1280	2	5258	1
1281	2	5259	1
1282	2	5264	1
1283	2	5290	1
1284	2	5315	1
1285	2	5361	1
1286	2	5362	1
1287	2	5363	1
1288	2	5364	1
1289	2	5375	1
1290	2	5381	1
1291	2	5382	1
1292	2	5391	1
1293	2	5411	1
1294	2	5413	1
1295	2	5414	1
1296	2	5473	1
1297	2	5482	1
1298	2	5483	1
1299	2	5484	1
1300	2	5559	1
1301	2	5560	1
1302	2	5592	1
1303	2	5618	1
1304	2	5622	1
1305	2	5668	1
1306	2	5671	1
1307	2	5677	1
1308	2	5678	1
1309	2	5679	1
1310	2	5680	1
1311	2	5681	1
1312	2	5695	1
1313	2	5803	1
1314	2	5804	1
1315	2	5805	1
1316	2	5806	1
1317	3	698	1
1318	3	699	1
1319	3	701	1
1320	3	702	1
1321	3	703	1
1322	3	705	1
1323	3	706	1
1324	3	709	1
1325	3	710	1
1326	3	711	1
1327	3	712	1
1328	3	714	1
1329	3	715	1
1330	3	717	1
1331	3	718	1
1332	3	719	1
1333	3	720	1
1334	3	721	1
1335	3	722	1
1336	3	724	1
1337	3	725	1
1338	3	726	1
1339	3	731	1
1340	3	733	1
1341	3	735	1
1342	3	736	1
1343	3	739	1
1344	3	741	1
1345	3	743	1
1346	3	744	1
1347	3	745	1
1348	3	746	1
1349	3	747	1
1350	3	748	1
1351	3	749	1
1352	3	750	1
1353	3	753	1
1354	3	754	1
1355	3	755	1
1356	3	757	1
1357	3	759	1
1358	3	761	1
1359	3	762	1
1360	3	768	1
1361	3	770	1
1362	3	771	1
1363	3	773	1
1364	3	775	1
1365	3	779	1
1366	3	780	1
1367	3	784	1
1368	3	786	1
1369	3	787	1
1370	3	792	1
1371	3	793	1
1372	3	794	1
1373	3	795	1
1374	3	796	1
1375	3	797	1
1376	3	800	1
1377	3	801	1
1378	3	802	1
1379	3	804	1
1380	3	805	1
1381	3	806	1
1382	3	807	1
1383	3	809	1
1384	3	810	1
1385	3	811	1
1386	3	812	1
1387	3	813	1
1388	3	816	1
1389	3	820	1
1390	3	821	1
1391	3	822	1
1392	3	827	1
1393	3	828	1
1394	3	837	1
1395	3	840	1
1396	3	841	1
1397	3	847	1
1398	3	851	1
1399	3	855	1
1400	3	862	1
1401	3	865	1
1402	3	867	1
1403	3	868	1
1404	3	869	1
1405	3	873	1
1406	3	877	1
1407	3	878	1
1408	3	879	1
1409	3	880	1
1410	3	881	1
1411	3	884	1
1412	3	886	1
1413	3	887	1
1414	3	888	1
1415	3	896	1
1416	3	898	1
1417	3	899	1
1418	3	900	1
1419	3	905	1
1420	3	907	1
1421	3	910	1
1422	3	911	1
1423	3	912	1
1424	3	913	1
1425	3	914	1
1426	3	915	1
1427	3	919	1
1428	3	920	1
1429	3	921	1
1430	3	922	1
1431	3	924	1
1432	3	930	1
1433	3	931	1
1434	3	932	1
1435	3	933	1
1436	3	934	1
1437	3	935	1
1438	3	936	1
1439	3	937	1
1440	3	940	1
1441	3	942	1
1442	3	944	1
1443	3	947	1
1444	3	949	1
1445	3	950	1
1446	3	951	1
1447	3	953	1
1448	3	954	1
1449	3	957	1
1450	3	961	1
1451	3	966	1
1452	3	968	1
1453	3	969	1
1454	3	977	1
1455	3	978	1
1456	3	981	1
1457	3	982	1
1458	3	985	1
1459	3	988	1
1460	3	989	1
1461	3	990	1
1462	3	995	1
1463	3	996	1
1464	3	997	1
1465	3	998	1
1466	3	999	1
1467	3	1007	1
1468	3	1010	1
1469	3	1015	1
1470	3	1018	1
1471	3	1027	1
1472	3	1028	1
1473	3	1030	1
1474	3	1032	1
1475	3	1034	1
1476	3	1035	1
1477	3	1037	1
1478	3	1043	1
1479	3	1046	1
1480	3	1047	1
1481	3	1049	1
1482	3	1050	1
1483	3	1055	1
1484	3	1056	1
1485	3	1057	1
1486	3	1062	1
1487	3	1064	1
1488	3	1065	1
1489	3	1067	1
1490	3	1068	1
1491	3	1069	1
1492	3	1071	1
1493	3	1073	1
1494	3	1075	1
1495	3	1077	1
1496	3	1078	1
1497	3	1079	1
1498	3	1081	1
1499	3	1082	1
1500	3	1085	1
1501	3	1086	1
1502	3	1087	1
1503	3	1088	1
1504	3	1091	1
1505	3	1093	1
1506	3	1094	1
1507	3	1095	1
1508	3	1097	1
1509	3	1098	1
1510	3	1100	1
1511	3	1101	1
1512	3	1103	1
1513	3	1109	1
1514	3	1110	1
1515	3	1111	1
1516	3	1112	1
1517	3	1113	1
1518	3	1114	1
1519	3	1115	1
1520	3	1116	1
1521	3	1119	1
1522	3	1124	1
1523	3	1135	1
1524	3	1139	1
1525	3	1144	1
1526	3	1155	1
1527	3	1156	1
1528	3	1161	1
1529	3	1164	1
1530	3	1176	1
1531	3	1179	1
1532	3	1207	1
1533	3	1215	1
1534	3	1219	1
1535	3	1222	1
1536	3	1239	1
1537	3	1253	1
1538	3	1256	1
1539	3	1259	1
1540	3	1266	1
1541	3	1268	1
1542	3	1269	1
1543	3	1270	1
1544	3	1273	1
1545	3	1275	1
1546	3	1277	1
1547	3	1281	1
1548	3	1289	1
1549	3	1295	1
