	protein	drug	value
509	68	285	1
510	68	329	1
511	68	464	1
512	68	627	1
513	68	653	1
514	68	673	1
515	68	703	1
516	68	751	1
517	69	346	1
518	70	251	1
519	70	286	1
520	70	293	1
521	70	305	1
522	70	313	1
523	70	348	1
524	70	368	1
525	70	384	1
526	70	398	1
527	70	419	1
528	70	465	1
529	70	506	1
530	70	612	1
531	70	624	1
532	70	653	1
533	70	657	1
534	70	695	1
535	70	701	1
536	70	734	1
537	71	239	1
538	71	349	1
539	71	476	1
540	72	642	1
541	72	661	1
542	73	346	1
543	73	567	1
544	73	616	1
545	74	419	1
546	74	420	1
547	74	479	1
548	74	516	1
549	74	519	1
550	74	561	1
551	74	606	1
552	74	624	1
553	74	637	1
554	74	645	1
555	75	377	1
556	75	647	1
557	75	717	1
558	76	227	1
559	76	272	1
560	76	284	1
561	76	289	1
562	76	292	1
563	76	369	1
564	76	413	1
565	76	460	1
566	76	462	1
567	76	509	1
568	76	519	1
569	76	524	1
570	76	545	1
571	76	559	1
572	76	670	1
573	76	748	1
574	76	753	1
575	77	268	1
576	78	317	1
577	78	443	1
578	78	472	1
579	78	523	1
580	78	584	1
581	78	722	1
582	78	727	1
583	79	277	1
584	79	316	1
585	79	321	1
586	79	419	1
587	79	437	1
588	79	606	1
589	79	645	1
590	80	251	1
591	80	252	1
592	80	253	1
593	80	257	1
594	80	286	1
595	80	293	1
596	80	309	1
597	80	326	1
598	80	329	1
599	80	337	1
600	80	348	1
601	80	357	1
602	80	373	1
603	80	384	1
604	80	434	1
605	80	446	1
606	80	456	1
607	80	464	1
608	80	465	1
609	80	473	1
610	80	478	1
611	80	523	1
612	80	560	1
613	80	564	1
614	80	624	1
615	80	627	1
616	80	653	1
617	80	656	1
618	80	657	1
619	80	673	1
620	80	680	1
621	80	695	1
622	80	701	1
623	80	703	1
624	80	738	1
625	80	739	1
626	80	751	1
627	81	416	1
628	81	707	1
629	81	711	1
630	82	654	1
631	83	242	1
632	83	281	1
633	83	440	1
634	83	568	1
635	84	633	1
636	85	223	1
637	85	248	1
638	85	298	1
639	85	310	1
640	85	325	1
641	85	330	1
642	85	355	1
643	85	448	1
644	85	451	1
645	85	497	1
646	85	522	1
647	85	543	1
648	85	623	1
649	85	667	1
650	85	732	1
651	85	735	1
652	86	437	1
653	86	553	1
654	86	746	1
655	87	226	1
656	87	227	1
657	87	266	1
658	87	269	1
659	87	286	1
660	87	296	1
661	87	333	1
662	87	348	1
663	87	356	1
664	87	384	1
665	87	387	1
666	87	456	1
667	87	465	1
668	87	565	1
669	87	640	1
670	87	644	1
671	87	653	1
672	87	656	1
673	87	657	1
674	87	658	1
675	87	666	1
676	87	703	1
677	87	722	1
678	87	733	1
679	87	745	1
680	87	748	1
681	88	232	1
682	88	260	1
683	88	431	1
684	88	504	1
685	88	633	1
686	88	643	1
687	88	731	1
688	88	740	1
689	89	318	1
690	90	407	1
691	91	240	1
692	91	251	1
693	91	286	1
694	91	293	1
695	91	297	1
696	91	305	1
697	91	308	1
698	91	319	1
699	91	344	1
700	91	345	1
701	91	347	1
702	91	357	1
703	91	384	1
704	91	387	1
705	91	404	1
706	91	408	1
707	91	419	1
708	91	434	1
709	91	439	1
710	91	446	1
711	91	453	1
712	91	456	1
713	91	461	1
714	91	473	1
715	91	478	1
716	91	516	1
717	91	561	1
718	91	575	1
719	91	624	1
720	91	652	1
721	91	653	1
722	91	656	1
723	91	657	1
724	91	663	1
725	91	673	1
726	91	680	1
727	91	695	1
728	91	701	1
729	91	722	1
730	91	751	1
731	91	758	1
732	92	278	1
733	92	540	1
734	92	547	1
735	93	246	1
736	93	674	1
737	93	700	1
738	94	486	1
739	95	223	1
740	95	279	1
741	95	298	1
742	95	310	1
743	95	325	1
744	95	330	1
745	95	334	1
746	95	355	1
747	95	448	1
748	95	451	1
749	95	497	1
750	95	515	1
751	95	522	1
752	95	543	1
753	95	623	1
754	95	667	1
755	95	679	1
756	95	687	1
757	95	732	1
758	95	735	1
759	96	227	1
760	96	251	1
761	96	252	1
762	96	253	1
763	96	257	1
764	96	293	1
765	96	309	1
766	96	326	1
767	96	329	1
768	96	337	1
769	96	434	1
770	96	464	1
771	96	473	1
772	96	627	1
773	96	653	1
774	96	656	1
775	96	673	1
776	96	680	1
777	96	695	1
778	96	701	1
779	96	703	1
780	96	751	1
781	97	661	1
782	98	258	1
783	98	459	1
784	98	512	1
785	98	533	1
786	98	595	1
787	98	676	1
788	99	249	1
789	99	423	1
790	99	714	1
791	100	246	1
792	100	301	1
793	100	595	1
794	100	642	1
795	100	661	1
796	101	539	1
797	101	737	1
798	102	300	1
799	102	307	1
800	102	322	1
801	102	410	1
802	102	728	1
803	103	233	1
804	103	251	1
805	103	262	1
806	103	286	1
807	103	293	1
808	103	305	1
809	103	313	1
810	103	327	1
811	103	337	1
812	103	348	1
813	103	368	1
814	103	384	1
815	103	398	1
816	103	419	1
817	103	465	1
818	103	469	1
819	103	503	1
820	103	506	1
821	103	518	1
822	103	551	1
823	103	605	1
824	103	612	1
825	103	620	1
826	103	624	1
827	103	630	1
828	103	653	1
829	103	657	1
830	103	695	1
831	103	696	1
832	103	701	1
833	103	719	1
834	103	729	1
835	103	734	1
836	104	253	1
837	104	257	1
838	104	270	1
839	104	293	1
840	104	305	1
841	104	308	1
842	104	329	1
843	104	361	1
844	104	400	1
845	104	439	1
846	104	456	1
847	104	457	1
848	104	464	1
849	104	473	1
850	104	501	1
851	104	561	1
852	104	653	1
853	104	673	1
854	104	680	1
855	104	695	1
856	104	701	1
857	104	733	1
858	104	751	1
859	105	214	1
860	105	245	1
861	105	339	1
862	105	427	1
863	105	626	1
864	105	636	1
865	105	760	1
866	106	240	1
867	106	251	1
868	106	293	1
869	106	297	1
870	106	305	1
871	106	308	1
872	106	319	1
873	106	347	1
874	106	357	1
875	106	404	1
876	106	408	1
877	106	419	1
878	106	439	1
879	106	446	1
880	106	456	1
881	106	461	1
882	106	473	1
883	106	653	1
884	106	656	1
885	106	663	1
886	106	673	1
887	106	680	1
888	106	695	1
889	106	701	1
890	107	251	1
891	107	253	1
892	107	257	1
893	107	293	1
894	107	305	1
895	107	329	1
896	107	373	1
897	107	464	1
898	107	473	1
899	107	587	1
900	107	637	1
901	107	671	1
902	107	673	1
903	107	695	1
904	107	701	1
905	107	751	1
906	108	267	1
907	108	433	1
908	109	580	1
909	110	227	1
910	110	272	1
911	110	284	1
912	110	286	1
913	110	289	1
914	110	346	1
915	110	369	1
916	110	413	1
917	110	432	1
918	110	460	1
919	110	462	1
920	110	509	1
921	110	519	1
922	110	524	1
923	110	545	1
924	110	559	1
925	110	670	1
926	110	748	1
927	110	753	1
928	110	759	1
929	111	246	1
930	111	674	1
931	111	700	1
932	112	292	1
933	112	436	1
934	112	466	1
935	112	544	1
936	112	556	1
937	112	567	1
938	112	616	1
939	112	661	1
940	112	662	1
941	112	666	1
942	112	692	1
943	113	244	1
944	113	299	1
945	114	220	1
946	114	226	1
947	114	266	1
948	114	333	1
949	114	356	1
950	114	466	1
951	114	475	1
952	114	551	1
953	114	565	1
954	114	587	1
955	114	639	1
956	114	640	1
957	114	644	1
958	114	658	1
959	114	662	1
960	114	733	1
961	115	242	1
962	115	251	1
963	115	252	1
964	115	253	1
965	115	293	1
966	115	478	1
967	115	680	1
968	115	695	1
969	115	701	1
970	115	751	1
971	116	242	1
972	116	251	1
973	116	253	1
974	116	257	1
975	116	281	1
976	116	285	1
977	116	293	1
978	116	305	1
979	116	329	1
980	116	440	1
981	116	456	1
982	116	464	1
983	116	473	1
984	116	557	1
985	116	568	1
986	116	569	1
987	116	594	1
988	116	673	1
989	116	680	1
990	116	701	1
991	117	349	1
992	117	500	1
993	118	305	1
994	118	464	1
995	119	321	1
996	119	332	1
997	119	450	1
998	119	458	1
999	119	606	1
1000	120	228	1
1001	120	256	1
1002	120	308	1
1003	120	311	1
1004	120	344	1
1005	120	376	1
1006	120	397	1
1007	120	408	1
1008	120	414	1
1009	120	439	1
1010	120	521	1
1011	120	535	1
1012	120	561	1
1013	120	566	1
1014	120	571	1
1015	120	585	1
1016	120	621	1
1017	120	652	1
1018	120	657	1
1019	120	675	1
1020	120	681	1
1021	120	685	1
1022	120	686	1
1023	120	715	1
1024	120	744	1
1025	120	751	1
1026	121	295	1
1027	122	412	1
1028	122	615	1
1029	123	239	1
1030	123	276	1
1031	124	244	1
1032	124	437	1
1033	124	647	1
1034	125	286	1
1035	125	297	1
1036	125	308	1
1037	125	319	1
1038	125	347	1
1039	125	384	1
1040	125	404	1
1041	125	419	1
1042	125	439	1
1043	125	456	1
1044	125	461	1
1045	125	653	1
1046	125	663	1
1047	125	673	1
1048	125	680	1
1049	125	695	1
1050	126	429	1
1051	127	320	1
1052	127	547	1
1053	127	647	1
1054	127	724	1
1055	128	223	1
1056	128	248	1
1057	128	515	1
1058	128	543	1
1059	128	573	1
1060	128	623	1
1061	128	679	1
1062	129	221	1
1063	129	327	1
1064	129	435	1
1065	129	466	1
1066	129	469	1
1067	129	471	1
1068	129	507	1
1069	129	696	1
1070	129	719	1
1071	130	690	1
1072	131	243	1
1073	131	259	1
1074	131	342	1
1075	131	382	1
1076	131	449	1
1077	131	454	1
1078	131	489	1
1079	131	581	1
1080	131	593	1
1081	131	619	1
1082	131	664	1
1083	131	682	1
1084	132	544	1
1085	133	215	1
1086	133	226	1
1087	133	227	1
1088	133	241	1
1089	133	266	1
1090	133	269	1
1091	133	286	1
1092	133	296	1
1093	133	333	1
1094	133	348	1
1095	133	353	1
1096	133	356	1
1097	133	384	1
1098	133	387	1
1099	133	434	1
1100	133	437	1
1101	133	465	1
1102	133	551	1
1103	133	639	1
1104	133	640	1
1105	133	644	1
1106	133	653	1
1107	133	656	1
1108	133	703	1
1109	133	733	1
1110	133	745	1
1111	133	748	1
1112	134	251	1
1113	134	253	1
1114	134	257	1
1115	134	293	1
1116	134	305	1
1117	134	326	1
1118	134	329	1
1119	134	336	1
1120	134	345	1
1121	134	357	1
1122	134	364	1
1123	134	373	1
1124	134	387	1
1125	134	420	1
1126	134	456	1
1127	134	464	1
1128	134	473	1
1129	134	516	1
1130	134	525	1
1131	134	556	1
1132	134	564	1
1133	134	587	1
1134	134	624	1
1135	134	637	1
1136	134	653	1
1137	134	671	1
1138	134	673	1
1139	134	680	1
1140	134	692	1
1141	134	695	1
1142	134	698	1
1143	134	701	1
1144	134	738	1
1145	134	739	1
1146	134	751	1
1147	135	283	1
1148	135	378	1
1149	136	227	1
1150	136	272	1
1151	136	284	1
1152	136	289	1
1153	136	292	1
1154	136	369	1
1155	136	413	1
1156	136	432	1
1157	136	460	1
1158	136	462	1
1159	136	502	1
1160	136	509	1
1161	136	519	1
1162	136	524	1
1163	136	545	1
1164	136	548	1
1165	136	559	1
1166	136	670	1
1167	136	748	1
1168	136	759	1
1169	137	422	1
1170	138	286	1
1171	138	479	1
1172	138	645	1
1173	138	674	1
1174	138	700	1
1175	139	359	1
1176	139	444	1
1177	139	493	1
1178	140	218	1
1179	140	268	1
1180	140	288	1
1181	140	300	1
1182	140	388	1
1183	140	405	1
1184	140	417	1
1185	140	425	1
1186	140	450	1
1187	140	517	1
1188	140	527	1
1189	140	542	1
1190	140	570	1
1191	140	601	1
1192	140	617	1
1193	140	650	1
1194	140	672	1
1195	140	693	1
1196	140	699	1
1197	140	709	1
1198	141	223	1
1199	141	246	1
1200	141	248	1
1201	141	258	1
1202	141	270	1
1203	141	279	1
1204	141	298	1
1205	141	310	1
1206	141	325	1
1207	141	330	1
1208	141	334	1
1209	141	354	1
1210	141	355	1
1211	141	387	1
1212	141	448	1
1213	141	451	1
1214	141	479	1
1215	141	497	1
1216	141	515	1
1217	141	522	1
1218	141	543	1
1219	141	544	1
1220	141	573	1
1221	141	623	1
1222	141	661	1
1223	141	667	1
1224	141	674	1
1225	141	679	1
1226	141	687	1
1227	141	700	1
1228	141	732	1
1229	141	735	1
1230	142	242	1
1231	142	251	1
1232	142	253	1
1233	142	257	1
1234	142	281	1
1235	142	285	1
1236	142	293	1
1237	142	305	1
1238	142	329	1
1239	142	397	1
1240	142	440	1
1241	142	456	1
1242	142	464	1
1243	142	548	1
1244	142	557	1
1245	142	568	1
1246	142	569	1
1247	142	571	1
1248	142	594	1
1249	142	673	1
1250	142	695	1
1251	142	701	1
1252	142	751	1
1253	143	279	1
1254	143	330	1
1255	143	497	1
1256	144	279	1
1257	144	497	1
1258	144	667	1
1259	145	265	1
1260	146	279	1
1261	146	330	1
1262	146	443	1
1263	146	497	1
1264	146	667	1
1265	146	712	1
1266	147	221	1
1267	148	711	1
1268	149	711	1
1269	150	626	1
1270	150	710	1
1271	151	606	1
1272	151	645	1
1273	151	646	1
1274	152	365	1
1275	153	286	1
1276	154	665	1
1277	155	232	1
1278	155	303	1
1279	155	426	1
1280	155	431	1
1281	155	504	1
1282	156	251	1
1283	156	293	1
1284	156	305	1
1285	156	695	1
1286	156	751	1
1287	157	378	1
1288	157	493	1
1289	158	609	1
1290	159	491	1
1291	160	411	1
1292	160	725	1
1293	161	397	1
1294	161	621	1
1295	162	516	1
1296	163	416	1
1297	164	608	1
1298	165	411	1
1299	166	260	1
1300	166	504	1
1301	166	558	1
1302	166	580	1
1303	166	633	1
1304	166	740	1
1305	167	665	1
1306	168	736	1
1307	169	436	1
1308	170	431	1
1309	170	558	1
1310	170	633	1
1311	171	403	1
1312	172	553	1
1313	173	392	1
1314	173	511	1
1315	174	403	1
1316	174	511	1
1317	174	677	1
1318	175	287	1
1319	176	302	1
1320	176	589	1
1321	176	688	1
1322	177	317	1
1323	177	344	1
1324	177	443	1
1325	177	472	1
1326	177	488	1
1327	177	696	1
1328	178	226	1
1329	178	491	1
1330	178	553	1
1331	178	613	1
1332	178	704	1
1333	178	723	1
1334	179	226	1
1335	179	553	1
1336	179	613	1
1337	179	704	1
1338	179	733	1
1339	180	316	1
1340	180	437	1
1341	181	221	1
1342	181	330	1
1343	181	443	1
1344	181	497	1
1345	181	667	1
1346	181	712	1
1347	182	223	1
1348	182	248	1
1349	182	298	1
1350	182	325	1
1351	182	335	1
1352	182	355	1
1353	182	448	1
1354	182	451	1
1355	182	515	1
1356	182	543	1
1357	182	623	1
1358	182	687	1
1359	182	732	1
1360	182	735	1
1361	183	223	1
1362	183	248	1
1363	183	298	1
1364	183	325	1
1365	183	355	1
1366	183	409	1
1367	183	448	1
1368	183	451	1
1369	183	511	1
1370	183	515	1
1371	183	522	1
1372	183	623	1
1373	183	687	1
1374	183	732	1
1375	183	735	1
1376	184	223	1
1377	184	248	1
1378	184	325	1
1379	184	355	1
1380	184	448	1
1381	184	451	1
1382	184	511	1
1383	184	515	1
1384	184	522	1
1385	184	543	1
1386	184	623	1
1387	184	687	1
1388	184	732	1
1389	184	735	1
1390	185	316	1
1391	185	321	1
1392	185	324	1
1393	185	419	1
1394	185	437	1
1395	185	645	1
1396	186	316	1
1397	186	321	1
1398	186	324	1
1399	186	437	1
1400	186	645	1
1401	187	437	1
1402	188	321	1
1403	189	437	1
1404	190	316	1
1405	190	321	1
1406	190	324	1
1407	190	419	1
1408	190	437	1
1409	190	606	1
1410	191	563	1
1411	192	295	1
1412	193	553	1
1413	194	529	1
1414	195	529	1
1415	196	558	1
1416	197	606	1
1417	198	394	1
1418	199	661	1
1419	200	221	1
1420	201	221	1
1421	201	443	1
1422	201	658	1
1423	202	443	1
1424	203	223	1
1425	203	248	1
1426	203	298	1
1427	203	325	1
1428	203	355	1
1429	203	448	1
1430	203	451	1
1431	203	515	1
1432	203	522	1
1433	203	543	1
1434	203	623	1
1435	203	683	1
1436	203	732	1
1437	203	735	1
1438	204	223	1
1439	204	248	1
1440	204	298	1
1441	204	325	1
1442	204	355	1
1443	204	448	1
1444	204	451	1
1445	204	515	1
1446	204	543	1
1447	204	623	1
1448	204	687	1
1449	204	732	1
1450	204	735	1
1451	205	223	1
1452	205	248	1
1453	205	298	1
1454	205	355	1
1455	205	448	1
1456	205	451	1
1457	205	515	1
1458	205	522	1
1459	205	543	1
1460	205	623	1
1461	205	687	1
1462	205	732	1
1463	205	735	1
1464	206	223	1
1465	206	248	1
1466	206	298	1
1467	206	325	1
1468	206	448	1
1469	206	451	1
1470	206	515	1
1471	206	522	1
1472	206	543	1
1473	206	623	1
1474	206	687	1
1475	206	732	1
1476	206	735	1
1477	207	223	1
1478	207	248	1
1479	207	298	1
1480	207	325	1
1481	207	355	1
1482	207	448	1
1483	207	451	1
1484	207	515	1
1485	207	522	1
1486	207	543	1
1487	207	687	1
1488	207	732	1
1489	207	735	1
1490	208	262	1
1491	208	286	1
1492	209	262	1
1493	209	348	1
1494	210	553	1
1495	211	321	1
1496	211	370	1
1497	211	626	1
1498	211	635	1
